"expt_date,04/29/2024 18:49",,,,,,,,,,,,,,,,,,,,
"subj_name,1",,,,,,,,,,,,,,,,,,,,
"sustattn,True",,,,,,,,,,,,,,,,,,,,
"changedetect,True",,,,,,,,,,,,,,,,,,,,
"seed,1714387756",,,,,,,,,,,,,,,,,,,,
"restarting,False",,,,,,,,,,,,,,,,,,,,
"env,other",,,,,,,,,,,,,,,,,,,,
"save_dir,./../subjects/1/data/beh/",,,,,,,,,,,,,,,,,,,,
"debug,False",,,,,,,,,,,,,,,,,,,,
"project_dir,./../",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset,
0,48,10:51:14:620000,6,1,[3 7 0 6 4 5],1,1,1,0.3128542,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,115.1916662,115.5045204,nan,nan
0,49,10:51:15:661000,6,1,[4 6 8 7 3 0],1,1,1,0.3278682,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,116.2475646,116.5754328,nan,nan
0,50,10:51:16:717000,6,1,[2 5 6 1 4 8],1,1,1,0.3719691,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,117.3030846,117.6750537,nan,nan
0,51,10:51:26:541000,6,0,[3 6 1 5 0 2],0,0,1,0.371682,1,[ 1.  1.  1.  1.  1.  1.],[ 6.  4.  3.  5.  1.  2.],[ 2.  1.  6.  3.  0.  2.],2,[ 6.6996203  4.8638664  3.149879   5.6919143  1.3280565  2.187387 ],8.462099,118.3580564,118.7297384,120.3698722,127.0947931
0,52,10:51:27:600000,6,1,[5 7 4 0 1 8],1,1,1,0.3990766,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,128.171747,128.5708236,nan,nan
0,53,10:51:28:654000,6,1,[1 0 8 7 6 2],1,1,1,0.2800539,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,129.2289408,129.5089947,nan,nan
0,54,10:51:29:712000,6,1,[8 1 5 3 4 0],1,1,1,0.226096,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,130.2854722,130.5115682,nan,nan
0,55,10:51:30:784000,6,1,[5 8 7 2 0 4],1,1,1,0.229447,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,131.3411309,131.5705779,nan,nan
0,56,10:51:31:837000,6,1,[1 4 3 6 2 8],1,1,1,0.3413075,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,132.420867,132.7621745,nan,nan
0,57,10:51:32:894000,6,0,[6 1 7 3 8 4],0,0,1,0.3719732,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,133.4774021,133.8493753,nan,nan
